question,answer
Xin chào,Quán cà phê N16 có thể giúp gì cho bạn!
Chào,Quán cà phê N16 có thể giúp gì cho bạn!
Hello,Quán cà phê N16 có thể giúp gì cho bạn!
Hi,Quán cà phê N16 có thể giúp gì cho bạn!
Quán mở cửa vào giờ nào?,"Quán mở cửa từ 7h sáng đến 22h tối từ thứ Hai đến thứ Sáu, 23h với thứ Bảy và Chủ Nhật."
Khi nào quán đóng cửa?,Quán đóng cửa vào lúc 22h tối hàng ngày.
Giờ mở cửa vào cuối tuần thế nào?,"Cuối tuần, quán mở cửa từ 8h sáng đến 23h."
Quán có mở cửa vào ngày lễ không?,"Có, quán vẫn mở cửa vào các ngày lễ."
Quán mở cửa mấy giờ vào ngày thường?,Quán mở cửa từ 7h sáng đến 22h vào ngày thường.
Khi nào quán đóng cửa vào cuối tuần?,"Vào cuối tuần, quán đóng cửa lúc 23h."
Mấy giờ quán đóng cửa vào cuối tuần?,"Vào cuối tuần, quán đóng cửa lúc 23h."
Thứ Bảy quán có mở cửa không?,"Có, quán mở cửa vào Thứ Bảy từ 8h sáng đến 23h."
Quán có mở cửa suốt đêm không?,"Không, quán không mở cửa suốt đêm."
Quán có giờ nghỉ trưa không?,"Quán không có giờ nghỉ trưa, mở cửa liên tục từ 7h sáng đến 22h."
Giờ mở cửa vào ngày Chủ Nhật thế nào?,"Chủ Nhật, quán mở cửa từ 8h sáng đến 23h tối."
Quán có thay đổi giờ mở cửa vào dịp lễ không?,"Vào dịp lễ, giờ mở cửa có thể thay đổi, vui lòng kiểm tra thông tin trên trang web của quán."
Quán có mở cửa vào ngày Tết không?,"Có, quán đóng cửa vào mùng 1 và mùng 2 Tết Nguyên Đán."
Quán có mở cửa vào các ngày lễ không?,"Có, quán vẫn mở cửa vào các ngày lễ từ 8h sáng đến 18h tối."
Quán có giờ mở cửa đặc biệt vào ngày cuối tuần không?,"Vào cuối tuần, quán mở cửa từ 8h sáng đến 23h tối."
Giờ mở cửa vào dịp Giáng Sinh thế nào?,"Dịp Giáng Sinh, quán mở cửa từ 9h sáng đến 17h chiều."
Quán có đóng cửa vào ngày Tết Nguyên Đán không?,"Có, quán đóng cửa vào mùng 1 và mùng 2 Tết Nguyên Đán."
Quán mở cửa lúc mấy giờ vào các ngày trong tuần?,Quán mở cửa từ 7h sáng đến 22h tối các ngày trong tuần.
Quán có mở cửa vào buổi tối không?,"Có, quán mở cửa đến 22h tối từ thứ 2 đến thứ 6 và 23h với thứ 7 và Chủ Nhật."
Giờ mở cửa của quán có thay đổi vào mùa hè không?,"Không, giờ mở cửa của quán không thay đổi theo mùa."
Quán có mở cửa vào các ngày nghỉ lễ quốc gia không?,"Có, quán vẫn mở cửa vào các ngày nghỉ lễ quốc gia."
Khi nào quán đóng cửa vào cuối tuần?,Quán đóng cửa vào lúc 23h tối vào cuối tuần.
Thứ Hai quán có mở cửa không?,"Có, quán mở cửa từ 7h sáng đến 22h tối vào thứ Hai."
Thứ Ba quán có mở cửa không?,"Có, quán mở cửa từ 7h sáng đến 22h tối vào thứ Ba."
Thứ Tư quán có mở cửa không?,"Có, quán mở cửa từ 7h sáng đến 22h tối vào thứ Tư."
Thứ Năm quán có mở cửa không?,"Có, quán mở cửa từ 7h sáng đến 22h tối vào thứ Năm."
Thứ Sáu quán có mở cửa không?,"Có, quán mở cửa từ 7h sáng đến 22h tối vào thứ Sáu."
Thứ Bảy quán có mở cửa không?,"Có, quán mở cửa từ 7h sáng đến 23h tối vào thứ Bảy."
Thứ 2 quán có mở cửa không?,"Có, quán mở cửa từ 7h sáng đến 22h tối vào thứ Hai."
Thứ 3 quán có mở cửa không?,"Có, quán mở cửa từ 7h sáng đến 22h tối vào thứ Ba."
Thứ 4 quán có mở cửa không?,"Có, quán mở cửa từ 7h sáng đến 22h tối vào thứ Tư."
Thứ 5 quán có mở cửa không?,"Có, quán mở cửa từ 7h sáng đến 22h tối vào thứ Năm."
Thứ 6 quán có mở cửa không?,"Có, quán mở cửa từ 7h sáng đến 22h tối vào thứ Sáu."
Thứ 7 quán có mở cửa không?,"Có, quán mở cửa từ 7h sáng đến 23h tối vào thứ Bảy."
Chủ Nhật quán có mở cửa không?,"Có, quán mở cửa từ 7h sáng đến 23h tối vào thứ Chủ Nhật."
Thứ Hai quán bán tới mấy giờ?,"Có, quán mở cửa từ 7h sáng đến 22h tối vào thứ Hai."
Thứ Ba quán bán tới mấy giờ?,"Có, quán mở cửa từ 7h sáng đến 22h tối vào thứ Ba."
Thứ Tư quán bán tới mấy giờ?,"Có, quán mở cửa từ 7h sáng đến 22h tối vào thứ Tư."
Thứ Năm quán bán tới mấy giờ?,"Có, quán mở cửa từ 7h sáng đến 22h tối vào thứ Năm."
Thứ Sáu quán bán tới mấy giờ?,"Có, quán mở cửa từ 7h sáng đến 22h tối vào thứ Sáu."
Thứ Bảy quán bán tới mấy giờ?,"Có, quán mở cửa từ 7h sáng đến 23h tối vào thứ Bảy."
Thứ 2 quán bán tới mấy giờ?,"Có, quán mở cửa từ 7h sáng đến 22h tối vào thứ Hai."
Thứ 3 quán bán tới mấy giờ?,"Có, quán mở cửa từ 7h sáng đến 22h tối vào thứ Ba."
Thứ 4 quán bán tới mấy giờ?,"Có, quán mở cửa từ 7h sáng đến 22h tối vào thứ Tư."
Thứ 5 quán bán tới mấy giờ?,"Có, quán mở cửa từ 7h sáng đến 22h tối vào thứ Năm."
Thứ 6 quán bán tới mấy giờ?,"Có, quán mở cửa từ 7h sáng đến 22h tối vào thứ Sáu."
Thứ 7 quán bán tới mấy giờ?,"Có, quán mở cửa từ 7h sáng đến 23h tối vào thứ Bảy."
Quán có mở cửa vào thứ 2 không,"Có, quán mở cửa từ 7h sáng đến 22h tối vào thứ Hai."
Quán có mở cửa vào thứ 3 không,"Có, quán mở cửa từ 7h sáng đến 22h tối vào thứ Ba."
Quán có mở cửa vào thứ 4 không,"Có, quán mở cửa từ 7h sáng đến 22h tối vào thứ Tư."
Quán có mở cửa vào thứ 5 không,"Có, quán mở cửa từ 7h sáng đến 22h tối vào thứ Năm."
Quán có mở cửa vào thứ 6 không,"Có, quán mở cửa từ 7h sáng đến 22h tối vào thứ Sáu."
Quán có mở cửa vào thứ 7 không,"Có, quán mở cửa từ 7h sáng đến 22h tối vào thứ Bảy."
Quán có mở cửa vào Chủ Nhật không,"Có, quán mở cửa từ 7h sáng đến 22h tối vào Chủ nhật."
Chủ Nhật quán bán tới mấy giờ?,"Có, quán mở cửa từ 7h sáng đến 23h tối vào thứ Chủ Nhật."
Quán có giờ nghỉ trưa không?,"Quán không có giờ nghỉ trưa, mở cửa liên tục từ 7h sáng đến 22h tối."
Thời gian hoạt động của quán trong tuần là gì?,"Quán mở cửa từ 7h sáng đến 22h tối từ thứ Hai đến thứ Sáu, 23h với thứ Bảy và Chủ Nhật."
Có thay đổi gì trong giờ mở cửa vào mùa đông không?,"Không, giờ mở cửa của quán không thay đổi theo mùa."
Quán có mở cửa vào ngày Giáng Sinh không?,"Có, quán mở cửa từ 9h sáng đến 5h chiều vào ngày Giáng Sinh."
